run_id,knn,decay,knn_dist,t,gamma,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
phate_cosine_knn5_decay1_seed123_2d_t2_g0,5,1,cosine,2,0,2,123,0.5868331646571624,-0.4301614876218164,0.07334829219645973,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed123_2d_t2_g0.csv
phate_cosine_knn5_decay1_seed256_2d_t2_g0,5,1,cosine,2,0,2,256,0.5916475506664132,-0.43445143080845094,0.08047868362004487,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed256_2d_t2_g0.csv
phate_cosine_knn5_decay1_seed7_3d_t2_g0,5,1,cosine,2,0,3,7,0.6079265657190064,-0.39368808308485487,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed7_3d_t2_g0.csv
phate_cosine_knn5_decay1_seed42_3d_t2_g0,5,1,cosine,2,0,3,42,0.6101138915167461,-0.3808028598727778,0.11393667414609822,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed42_3d_t2_g0.csv
phate_cosine_knn5_decay1_seed99_3d_t2_g0,5,1,cosine,2,0,3,99,0.6060293857037743,-0.3771272795231597,0.11219147344801796,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed99_3d_t2_g0.csv
phate_cosine_knn5_decay1_seed123_3d_t2_g0,5,1,cosine,2,0,3,123,0.6107562270726583,-0.36630434349875557,0.10406382448267266,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed123_3d_t2_g0.csv
phate_cosine_knn5_decay1_seed256_3d_t2_g0,5,1,cosine,2,0,3,256,0.5979972503317552,-0.39081635287025557,0.09658439291947145,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed256_3d_t2_g0.csv
phate_cosine_knn5_decay1_seed7_2d_t2,5,1,cosine,2,1,2,7,0.6736041335338474,-0.16068725168437642,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed7_2d_t2.csv
phate_cosine_knn5_decay1_seed42_2d_t2,5,1,cosine,2,1,2,42,0.6506189789342627,-0.21800978223679138,0.2361505858888058,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed42_2d_t2.csv
phate_cosine_knn5_decay1_seed99_2d_t2,5,1,cosine,2,1,2,99,0.6602410342638414,-0.15392110468304562,0.22907005734230865,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed99_2d_t2.csv
phate_cosine_knn5_decay1_seed123_2d_t2,5,1,cosine,2,1,2,123,0.6606952266351248,-0.20442044531774106,0.22732485664422838,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed123_2d_t2.csv
phate_cosine_knn5_decay1_seed256_2d_t2,5,1,cosine,2,1,2,256,0.6451194527074897,-0.25544231756503405,0.21276489653453,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed256_2d_t2.csv
phate_cosine_knn5_decay1_seed7_3d_t2,5,1,cosine,2,1,3,7,0.6595230316022112,-0.13448641131550168,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed7_3d_t2.csv
phate_cosine_knn5_decay1_seed42_3d_t2,5,1,cosine,2,1,3,42,0.6492093470505578,-0.15316113650260454,0.24387933183744706,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed42_3d_t2.csv
phate_cosine_knn5_decay1_seed99_3d_t2,5,1,cosine,2,1,3,99,0.6507504287106955,-0.1013970516602862,0.24063824482672652,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed99_3d_t2.csv
phate_cosine_knn5_decay1_seed123_3d_t2,5,1,cosine,2,1,3,123,0.6519301373278279,-0.16338661135386545,0.2285215656943406,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed123_3d_t2.csv
phate_cosine_knn5_decay1_seed256_3d_t2,5,1,cosine,2,1,3,256,0.6447402064414185,-0.18789668748675034,0.2151583146347544,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed256_3d_t2.csv
phate_cosine_knn5_decay1_seed7_2d_t5_g0,5,1,cosine,5,0,2,7,0.6283131965481532,-0.3499966587522214,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed7_2d_t5_g0.csv
phate_cosine_knn5_decay1_seed42_2d_t5_g0,5,1,cosine,5,0,2,42,0.6144858867945722,-0.40735837479959613,0.11523310895038644,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed42_2d_t5_g0.csv
