sample_idx	IID	FID	dominant_component_broad	q_max_broad	best_embedding_axis1	best_embedding_method	sample_order_rank
1274	AUCD_19H09	AUCD	2	0.604765	-0.7620059	PhyloAE	920
408	DANE_21529	DANE	2	0.604314	-0.8888187	PhyloAE	921
891	TYo_0GT394	YORK	2	0.604065	-0.76733756	PhyloAE	922
879	JRT_0GT255	JACK	2	0.602382	-1.3494685	PhyloAE	923
1224	RHOD_14B10	RHOD	2	0.602314	-1.200961	PhyloAE	924
1205	WFOX_13F10	WFOX	2	0.602052	-2.0548787	PhyloAE	925
1207	RHOD_13C11	RHOD	2	0.60186	-1.2023276	PhyloAE	926
1230	WFOX_15G05	WFOX	2	0.601804	-2.070014	PhyloAE	927
894	TYo_0GT397	YORK	2	0.601636	-0.7704333	PhyloAE	928
1088	RATT_28509	RATT	2	0.601595	-0.12216245	PhyloAE	929
858	BoC_00GT65	BORD	2	0.60095	-0.90540564	PhyloAE	930
1195	WFOX_12C06	WFOX	2	0.600892	-2.082018	PhyloAE	931
713	OES_005957	OES	2	0.600478	-0.9896431	PhyloAE	932
766	YORK_29553	YORK	2	0.599551	-0.76493716	PhyloAE	933
1301	COOK_24163	COOK	2	0.599387	3.8513803	PhyloAE	934
715	OES_005984	OES	2	0.599137	-0.98948205	PhyloAE	935
892	TYo_0GT395	YORK	2	0.598017	-0.77256745	PhyloAE	936
12	SALU_24265	SALU_ArabPen	2	0.597923	-0.40020144	PhyloAE	937
883	JRT_0GT260	JACK	2	0.59697	-1.3613077	PhyloAE	938
1275	AUCD_19A10	AUCD	2	0.596938	-0.7628357	PhyloAE	939
1300	COOK_24136	COOK	2	0.59599	3.599785	PhyloAE	940
35	LVMD_24544	LVMD_Italy	2	0.595663	-0.32977962	PhyloAE	941
1276	ICES_21B07	ICES	2	0.59537	0.5137121	PhyloAE	942
1189	WFOX_12D05	WFOX	2	0.594686	-2.0755746	PhyloAE	943
709	OES_005941	OES	2	0.594657	-0.99266964	PhyloAE	944
878	JRT_0GT254	JACK	2	0.594651	-1.3372945	PhyloAE	945
717	OES_006003	OES	2	0.59459	-0.989819	PhyloAE	946
10	SLOU_23547	SLOU_NAfrica	2	0.594489	-0.33935773	PhyloAE	947
770	YORK_09000	YORK	2	0.59367	-0.76757294	PhyloAE	948
767	YORK_29556	YORK	2	0.593332	-0.7655714	PhyloAE	949
1232	RHOD_15A08	RHOD	2	0.592715	-1.1960988	PhyloAE	950
855	BoC_00GT56	BORD	2	0.591851	-0.90324974	PhyloAE	951
876	JRT_0GT251	JACK	2	0.591784	-1.3573958	PhyloAE	952
716	OES_005990	OES	2	0.591589	-0.99156564	PhyloAE	953
1197	WFOX_13E08	WFOX	2	0.591477	-2.0712996	PhyloAE	954
845	BoT_00LU65	BORT	2	0.591407	-1.5337638	PhyloAE	955
880	JRT_0GT256	JACK	2	0.591021	-1.3431622	PhyloAE	956
1051	BORT_27568	BORT	2	0.590166	-1.5359467	PhyloAE	957
1198	WFOX_13G08	WFOX	2	0.589035	-2.0718386	PhyloAE	958
711	OES_005951	OES	2	0.588462	-0.99285585	PhyloAE	959
843	BoT_00LU63	BORT	2	0.587624	-1.540801	PhyloAE	960
1084	PARS_27079	PARS	2	0.587304	-1.3105808	PhyloAE	961
718	OES_006014	OES	2	0.587263	-0.9906291	PhyloAE	962
1094	TIBT_03186	TIBT	2	0.586351	-1.4681967	PhyloAE	963
1240	RHOD_15G12	RHOD	2	0.585763	-1.202746	PhyloAE	964
1303	COOK_34327	COOK	2	0.585596	3.567991	PhyloAE	965
1196	WFOX_12E06	WFOX	2	0.584699	-2.0586212	PhyloAE	966
875	JRT_0GT250	JACK	2	0.584546	-1.3417575	PhyloAE	967
844	BoT_00LU64	BORT	2	0.584075	-1.5404654	PhyloAE	968
1202	WFOX_13G09	WFOX	2	0.583673	-2.0734253	PhyloAE	969
1092	TIBT_03184	TIBT	2	0.582898	-1.4711299	PhyloAE	970
1294	COOK_23320	COOK	2	0.581718	3.3922591	PhyloAE	971
881	JRT_0GT257	JACK	2	0.581684	-1.3247656	PhyloAE	972
1050	BORT_27171	BORT	2	0.581194	-1.5318842	PhyloAE	973
