method	K	silhouette
PHATE	21	0.5124365897418309
PHATE	22	0.5144158286362135
PHATE	23	0.535770165076252
PHATE	24	0.5342122827092021
PHATE	25	0.5278367907402693
PHATE	26	0.531885616203678
PHATE	27	0.5326429705180915
PHATE	28	0.5399677807569626
PHATE	29	0.5292634822519254
PHATE	30	0.5403244752748882
PHATE	31	0.5383689298677671
PHATE	32	0.5425451776535356
PHATE	33	0.5491720444661383
PHATE	34	0.5563997107084268
PHATE	35	0.554211175247638
PHATE	36	0.5618680142167544
PHATE	37	0.5473412231064021
PHATE	38	0.5710986620597454
PHATE	39	0.5662995356695361
PHATE	40	0.574454035522821
PHATE	41	0.5592935726131657
PHATE	42	0.5634158121548891
PHATE	43	0.5475615133844152
PHATE	44	0.5741157397201477
PHATE	45	0.5789260143415583
PHATE	46	0.574681024514391
PHATE	47	0.5748292992995727
PHATE	48	0.5656008192853336
PHATE	49	0.5798517105806164
PHATE	50	0.5795041551500953
PhyloAE	2	0.3578894249763695
PhyloAE	3	0.40849781860385265
PhyloAE	4	0.4077235549893402
PhyloAE	5	0.39646692860940086
PhyloAE	6	0.4101797038018457
PhyloAE	7	0.4231339851113531
PhyloAE	8	0.42551839594491475
PhyloAE	9	0.4176776870539798
PhyloAE	10	0.4007336876683108
PhyloAE	11	0.3739155531309464
PhyloAE	12	0.38877729237762887
PhyloAE	13	0.3808012249453961
PhyloAE	14	0.39658287196070235
PhyloAE	15	0.3944840006160037
PhyloAE	16	0.3847099416350526
PhyloAE	17	0.40305513842133295
PhyloAE	18	0.41333319534678103
PhyloAE	19	0.42687505018873145
PhyloAE	20	0.41254460162625134
PhyloAE	21	0.41809535518260194
PhyloAE	22	0.4262432609445137
PhyloAE	23	0.4287656958656728
PhyloAE	24	0.4351159711759275
PhyloAE	25	0.44651488621899904
PhyloAE	26	0.45508530406932984
PhyloAE	27	0.4448754898166741
PhyloAE	28	0.44820931891441684
PhyloAE	29	0.45873031491842786
PhyloAE	30	0.4596144901414864
PhyloAE	31	0.4617456603497449
PhyloAE	32	0.46827109183098103
PhyloAE	33	0.4741832160984404
PhyloAE	34	0.4777819483291437
PhyloAE	35	0.47897375666745484
PhyloAE	36	0.45981413924486864
PhyloAE	37	0.46002691854481736
PhyloAE	38	0.4901425836789785
PhyloAE	39	0.48346771398642924
PhyloAE	40	0.49751354983035506
PhyloAE	41	0.49883132208798336
PhyloAE	42	0.5001977202329931
PhyloAE	43	0.4990844142165426
PhyloAE	44	0.5186874860119045
PhyloAE	45	0.5178147711641129
PhyloAE	46	0.5153811202631196
PhyloAE	47	0.5221463724447531
PhyloAE	48	0.5234983142277775
PhyloAE	49	0.5294246335233931
PhyloAE	50	0.5388236924648804
