run_id,n_neighbors,MN_ratio,FP_ratio,distance,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
pacmap_manhattan_nn30_mn2p0_fp4p0_seed256_2d,30,2.0,4.0,manhattan,2,256,0.8837014799863541,0.4624878551419849,0.5920718025430067,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp4p0_seed256_2d.csv
pacmap_manhattan_nn30_mn2p0_fp4p0_seed7_3d,30,2.0,4.0,manhattan,3,7,0.8999259266848738,0.5539495800649221,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp4p0_seed7_3d.csv
pacmap_manhattan_nn30_mn2p0_fp4p0_seed42_3d,30,2.0,4.0,manhattan,3,42,0.9050857857786065,0.5469464587020867,0.6447768636250312,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp4p0_seed42_3d.csv
pacmap_manhattan_nn30_mn2p0_fp4p0_seed99_3d,30,2.0,4.0,manhattan,3,99,0.9052621273233767,0.5468596878400899,0.6570929942657691,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp4p0_seed99_3d.csv
pacmap_manhattan_nn30_mn2p0_fp4p0_seed123_3d,30,2.0,4.0,manhattan,3,123,0.8981395530631706,0.5381062097847343,0.6545998504113688,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp4p0_seed123_3d.csv
pacmap_manhattan_nn30_mn2p0_fp4p0_seed256_3d,30,2.0,4.0,manhattan,3,256,0.9047620186040899,0.5432511483910646,0.6434804288207429,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp4p0_seed256_3d.csv
pacmap_euclidean_nn30_mn2p0_fp8p0_seed7_2d,30,2.0,8.0,euclidean,2,7,0.8951925204166472,0.5444955283322924,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp8p0_seed7_2d.csv
pacmap_euclidean_nn30_mn2p0_fp8p0_seed42_2d,30,2.0,8.0,euclidean,2,42,0.9024751567891495,0.5774728056378021,0.5820493642483172,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp8p0_seed42_2d.csv
pacmap_euclidean_nn30_mn2p0_fp8p0_seed99_2d,30,2.0,8.0,euclidean,2,99,0.9018857199019288,0.5964961455571551,0.5880329094988781,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp8p0_seed99_2d.csv
pacmap_euclidean_nn30_mn2p0_fp8p0_seed123_2d,30,2.0,8.0,euclidean,2,123,0.8935260985106785,0.5803758773088191,0.6024432809773124,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp8p0_seed123_2d.csv
pacmap_euclidean_nn30_mn2p0_fp8p0_seed256_2d,30,2.0,8.0,euclidean,2,256,0.8876442522788359,0.5682008697413866,0.5654450261780105,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp8p0_seed256_2d.csv
pacmap_euclidean_nn30_mn2p0_fp8p0_seed7_3d,30,2.0,8.0,euclidean,3,7,0.907876399262758,0.6222792623975372,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp8p0_seed7_3d.csv
pacmap_euclidean_nn30_mn2p0_fp8p0_seed42_3d,30,2.0,8.0,euclidean,3,42,0.9097785503867408,0.6277989378853366,0.6479182248815757,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp8p0_seed42_3d.csv
pacmap_euclidean_nn30_mn2p0_fp8p0_seed99_3d,30,2.0,8.0,euclidean,3,99,0.9072431331342613,0.6428661417549244,0.643081525804039,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp8p0_seed99_3d.csv
pacmap_euclidean_nn30_mn2p0_fp8p0_seed123_3d,30,2.0,8.0,euclidean,3,123,0.9068525026496769,0.6375799760859922,0.6428820742956869,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp8p0_seed123_3d.csv
pacmap_euclidean_nn30_mn2p0_fp8p0_seed256_3d,30,2.0,8.0,euclidean,3,256,0.9017938492585269,0.6245721306113456,0.6405385190725504,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn30_mn2p0_fp8p0_seed256_3d.csv
pacmap_angular_nn30_mn2p0_fp8p0_seed7_2d,30,2.0,8.0,angular,2,7,0.9058272399303742,0.5634038793379996,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp8p0_seed7_2d.csv
pacmap_angular_nn30_mn2p0_fp8p0_seed42_2d,30,2.0,8.0,angular,2,42,0.903670461785645,0.5250083644190828,0.6461231613064075,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp8p0_seed42_2d.csv
pacmap_angular_nn30_mn2p0_fp8p0_seed99_2d,30,2.0,8.0,angular,2,99,0.9053031105100244,0.5583771788783678,0.6459735726751433,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp8p0_seed99_2d.csv
pacmap_angular_nn30_mn2p0_fp8p0_seed123_2d,30,2.0,8.0,angular,2,123,0.9000106632180074,0.5438834040710744,0.6397407130391423,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp8p0_seed123_2d.csv
pacmap_angular_nn30_mn2p0_fp8p0_seed256_2d,30,2.0,8.0,angular,2,256,0.906422786348197,0.5522102528342457,0.6331588132635253,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp8p0_seed256_2d.csv
pacmap_angular_nn30_mn2p0_fp8p0_seed7_3d,30,2.0,8.0,angular,3,7,0.9142396461481307,0.6048905959118162,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp8p0_seed7_3d.csv
pacmap_angular_nn30_mn2p0_fp8p0_seed42_3d,30,2.0,8.0,angular,3,42,0.9149423560095582,0.579445198193442,0.6817751184243331,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp8p0_seed42_3d.csv
pacmap_angular_nn30_mn2p0_fp8p0_seed99_3d,30,2.0,8.0,angular,3,99,0.9141061851597605,0.6058708087619892,0.7014709548740963,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp8p0_seed99_3d.csv
pacmap_angular_nn30_mn2p0_fp8p0_seed123_3d,30,2.0,8.0,angular,3,123,0.9096880079021655,0.6027279632422458,0.6812266267763649,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp8p0_seed123_3d.csv
pacmap_angular_nn30_mn2p0_fp8p0_seed256_3d,30,2.0,8.0,angular,3,256,0.9144593995128314,0.5950646213265249,0.6914485165794066,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp8p0_seed256_3d.csv
pacmap_manhattan_nn30_mn2p0_fp8p0_seed7_2d,30,2.0,8.0,manhattan,2,7,0.9049897788691449,0.5771441636797909,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp8p0_seed7_2d.csv
pacmap_manhattan_nn30_mn2p0_fp8p0_seed42_2d,30,2.0,8.0,manhattan,2,42,0.9056088147245,0.5868251312896573,0.6349040139616056,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp8p0_seed42_2d.csv
pacmap_manhattan_nn30_mn2p0_fp8p0_seed99_2d,30,2.0,8.0,manhattan,2,99,0.9023904582034109,0.5876286716557545,0.6396908501620543,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp8p0_seed99_2d.csv
pacmap_manhattan_nn30_mn2p0_fp8p0_seed123_2d,30,2.0,8.0,manhattan,2,123,0.9107255276300675,0.5859732364612368,0.631363749688357,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp8p0_seed123_2d.csv
