run_id,hidden_dims,lr,lambda_breed,lambda_clade,n_components,seed,target_metric,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed789_2d,"(512, 64)",0.0003,0.1,0.1,2,789,euclidean,0.8861567523405005,0.6941592979737936,0.5690850162054351,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed789_2d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed1337_2d,"(512, 64)",0.0003,0.1,0.1,2,1337,euclidean,0.8843267771618916,0.6746904489215446,0.5670406382448268,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed1337_2d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed42_3d,"(512, 64)",0.0003,0.1,0.1,3,42,euclidean,0.916284821004035,0.7750779574435775,1.0,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed42_3d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed123_3d,"(512, 64)",0.0003,0.1,0.1,3,123,euclidean,0.9131658487105665,0.7843824238770871,0.6073797058090251,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed123_3d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed256_3d,"(512, 64)",0.0003,0.1,0.1,3,256,euclidean,0.9173419215877797,0.7693166935108599,0.6174520069808028,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed256_3d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed789_3d,"(512, 64)",0.0003,0.1,0.1,3,789,euclidean,0.8998310202498684,0.787785776827948,0.6036898529045127,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed789_3d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed1337_3d,"(512, 64)",0.0003,0.1,0.1,3,1337,euclidean,0.8995264544572441,0.7694682038433001,0.6177511842433309,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed1337_3d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed42_2d,"(512, 64)",0.0003,0.1,1.0,2,42,euclidean,0.8896358454129378,0.6754182445912494,1.0,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed42_2d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed123_2d,"(512, 64)",0.0003,0.1,1.0,2,123,euclidean,0.8955296071268244,0.7019492623291511,0.5824482672650212,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed123_2d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed256_2d,"(512, 64)",0.0003,0.1,1.0,2,256,euclidean,0.8999537041780461,0.686384661193342,0.5783096484667165,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed256_2d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed789_2d,"(512, 64)",0.0003,0.1,1.0,2,789,euclidean,0.8921674679259131,0.6632389158574737,0.5835951134380454,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed789_2d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed1337_2d,"(512, 64)",0.0003,0.1,1.0,2,1337,euclidean,0.8882791501453196,0.6424219840178936,0.5821989528795811,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed1337_2d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed42_3d,"(512, 64)",0.0003,0.1,1.0,3,42,euclidean,0.9222866189516121,0.7699656770089978,1.0,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed42_3d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed123_3d,"(512, 64)",0.0003,0.1,1.0,3,123,euclidean,0.919430090842269,0.7779475770255092,0.6658688606332586,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed123_3d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed256_3d,"(512, 64)",0.0003,0.1,1.0,3,256,euclidean,0.9088316110908092,0.7666648222930162,0.6557466965843929,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed256_3d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed789_3d,"(512, 64)",0.0003,0.1,1.0,3,789,euclidean,0.9195113741624535,0.7728489416053487,0.6544003989030167,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed789_3d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed1337_3d,"(512, 64)",0.0003,0.1,1.0,3,1337,euclidean,0.9228974961170329,0.7658101981961046,0.667963101470955,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc1p0_seed1337_3d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed42_2d,"(512, 64)",0.0003,1.0,0.1,2,42,euclidean,0.8851546754795697,0.7167154849417533,1.0,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed42_2d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed123_2d,"(512, 64)",0.0003,1.0,0.1,2,123,euclidean,0.8774293068490874,0.6941415636945301,0.5678384442782349,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed123_2d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed256_2d,"(512, 64)",0.0003,1.0,0.1,2,256,euclidean,0.8882280350041951,0.6831169274668237,0.5790077287459487,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed256_2d.csv
