run_id,perplexity,metric,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
tsne_euclidean_perp15_seed42_2d,15,euclidean,2,42,0.9073468054175219,0.8165331129730545,0.8582398404387933,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp15_seed42_2d.csv
tsne_euclidean_perp15_seed99_2d,15,euclidean,2,99,0.9101617431818967,0.8163919646046213,0.8318623784592372,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp15_seed99_2d.csv
tsne_euclidean_perp15_seed123_2d,15,euclidean,2,123,0.9070568873193846,0.817656178758419,0.7967090501121915,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp15_seed123_2d.csv
tsne_euclidean_perp15_seed256_2d,15,euclidean,2,256,0.9101371153225131,0.8163852182449375,0.8452256295188232,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp15_seed256_2d.csv
tsne_euclidean_perp15_seed7_3d,15,euclidean,3,7,0.914942090377793,0.7422544611674015,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp15_seed7_3d.csv
tsne_euclidean_perp15_seed42_3d,15,euclidean,3,42,0.9218720816081499,0.7393325557092898,0.77571677885814,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp15_seed42_3d.csv
tsne_euclidean_perp15_seed99_3d,15,euclidean,3,99,0.919916576446735,0.7403342303391811,0.8096733981550736,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp15_seed99_3d.csv
tsne_euclidean_perp15_seed123_3d,15,euclidean,3,123,0.9237433056051718,0.739350091375766,0.7697332336075791,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp15_seed123_3d.csv
tsne_euclidean_perp15_seed256_3d,15,euclidean,3,256,0.9222725404680507,0.736409517085622,0.7588631264023935,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp15_seed256_3d.csv
tsne_cosine_perp15_seed7_2d,15,cosine,2,7,0.9295470560980136,0.7997345914134228,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp15_seed7_2d.csv
tsne_cosine_perp15_seed42_2d,15,cosine,2,42,0.930136265300864,0.8000626955891894,0.9265519820493644,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp15_seed42_2d.csv
tsne_cosine_perp15_seed99_2d,15,cosine,2,99,0.9310618022659908,0.799766403761525,0.9447020693093992,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp15_seed99_2d.csv
tsne_cosine_perp15_seed123_2d,15,cosine,2,123,0.9307318117186869,0.8000014835866373,0.9401146846173024,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp15_seed123_2d.csv
tsne_cosine_perp15_seed256_2d,15,cosine,2,256,0.9335587788072907,0.8000938027989336,0.9230117177761157,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp15_seed256_2d.csv
