row_type	K	component	cv_error	delta_cv	pct_improvement	delta2_cv	mean_q_max	median_q_max	qmax_p10	qmax_p25	qmax_p75	qmax_p90	mean_h_norm	median_h_norm	mean_k_eff	median_k_eff	adjacent_mean_parent_corr	adjacent_dominant_nmi	adjacent_dominant_preserved_frac	k_cv_min	k_elbow	k_broad_default	k_fine_default	component_mass_mean_q	component_n_q_ge_0_5	component_n_q_ge_0_2	component_rank_within_k	component_embedding_separability	k_rank	is_broad_or_fine_default	embedding_nmi_max
k_summary	12		0.65865	0.00262	0.396207298077951	-0.0008399999999999	0.6427223021690351	0.605032	0.4133932	0.4937	0.755115	0.999879	0.4678784999284256	0.5313798724973133	2.475280771812243	2.417411161632247	0.8853040764939366	0.8237590288952069	0.9028094153378892	30.0	10.0	8.0	15.0						19	0	-1.0
component	12	1.0																						0.0502053343305908	32.0	48.0	7.0	0.8638253638253637	19	0	-1.0
component	12	2.0																						0.0150338623784592	10.0	10.0	12.0		19	0	-1.0
component	12	3.0																						0.4386479334330591	639.0	1028.0	1.0	0.7514457403467523	19	0	-1.0
component	12	4.0																						0.1055530650710546	63.0	199.0	2.0	0.9201195219123506	19	0	-1.0
component	12	5.0																						0.0286336447270007	20.0	20.0	11.0	0.9924098398432999	19	0	-1.0
component	12	6.0																						0.0578103201196709	40.0	55.0	5.0	0.9683843183843184	19	0	-1.0
component	12	7.0																						0.0415958332086761	20.0	50.0	8.0	0.9255890655605483	19	0	-1.0
component	12	8.0																						0.0329478922961854	30.0	40.0	9.0	0.973981457108596	19	0	-1.0
component	12	9.0																						0.0316884569932685	10.0	48.0	10.0		19	0	-1.0
component	12	10.0																						0.0523488317127898	27.0	61.0	6.0	0.9169938107869141	19	0	-1.0
component	12	11.0																						0.0833553298429319	30.0	70.0	3.0	0.9097861597861598	19	0	-1.0
component	12	12.0																						0.0621794622288706	60.0	95.0	4.0	0.9723569138837883	19	0	-1.0
k_summary	13		0.65615	0.0024999999999999	0.3795642602292487	-0.0001200000000001	0.5924372931937173	0.514473	0.3321652	0.398101	0.812393	0.999879	0.5045209152537845	0.6099574878378736	3.0878790724147813	3.1308034337536337	0.983281779099059	0.95807689133486	0.983167559296098	30.0	10.0	8.0	15.0						25	0	-1.0
component	13	1.0																						0.1042990777860882	63.0	199.0	2.0	0.9195993652027464	25	0	-1.0
component	13	2.0																						0.0512136439790575	40.0	45.0	7.0	0.9683843183843184	25	0	-1.0
component	13	3.0																						0.0674023380703066	23.0	65.0	5.0	0.7601103972491178	25	0	-1.0
component	13	4.0																						0.037686	20.0	42.0	10.0	0.9255890655605483	25	0	-1.0
component	13	5.0																						0.0333181376215407	10.0	54.0	11.0	0.9183844657939803	25	0	-1.0
component	13	6.0																						0.3374729798055347	297.0	917.0	1.0	0.7164736916532517	25	0	-1.0
component	13	7.0																						0.0274766133133881	20.0	20.0	12.0	0.9924098398432999	25	0	-1.0
component	13	8.0																						0.0564158175018698	20.0	26.0	6.0	0.6074144486692015	25	0	-1.0
component	13	9.0																						0.0446963320867614	25.0	61.0	9.0	0.9141728541728542	25	0	-1.0
component	13	10.0																						0.0990879992520568	43.0	83.0	3.0	0.9794407745905348	25	0	-1.0
component	13	11.0																						0.0141355639491398	10.0	10.0	13.0		25	0	-1.0
component	13	12.0																						0.0469995220643231	31.0	48.0	8.0	0.8655038759689923	25	0	-1.0
component	13	13.0																						0.0797959865370231	96.0	125.0	4.0	0.9849079143852663	25	0	-1.0
k_summary	14		0.65373	0.0024199999999999	0.3688181056160905	-7.999999999996898e-05	0.5916271473448018	0.513315	0.328245	0.397918	0.80068	0.99987	0.4952967787581685	0.598959654390723	3.1225873776972244	3.146521808371211	0.9794801490291156	0.9592379026955778	0.9878326996197718	30.0	10.0	8.0	15.0						24	0	-1.0
component	14	1.0																						0.0445893283470456	25.0	61.0	9.0	0.9141728541728542	24	0	-1.0
component	14	2.0																						0.0298641810022438	10.0	48.0	11.0		24	0	-1.0
component	14	3.0																						0.0448731540762902	40.0	45.0	8.0	0.9683843183843184	24	0	-1.0
component	14	4.0																						0.0274413418100224	20.0	20.0	13.0	0.9924098398432999	24	0	-1.0
component	14	5.0																						0.1042391780104712	64.0	200.0	2.0	0.9195993652027464	24	0	-1.0
component	14	6.0																						0.0604647980553477	60.0	93.0	5.0	0.9723569138837883	24	0	-1.0
